GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
7164	3.92e-60	9.40e-63	0.0647	16.7197907	1.0814125	7886.64	TPD52L1	TPD52 like 1
5241	2.06e-59	5.08e-62	0.0709	16.6189309	1.1790504	2876.29	PGR	progesterone receptor
9545	2.35e-59	5.98e-62	0.068	-16.6092115	-1.129505	3179.22	RAB3D	RAB3D, member RAS oncogene family
5874	1.77e-58	4.63e-61	0.0841	-16.4859209	-1.3857386	1534.46	RAB27B	RAB27B, member RAS oncogene family
4853	8.70e-57	2.33e-59	0.0509	16.2472804	0.826712	12747.73	NOTCH2	notch receptor 2
164832	9.46e-57	2.60e-59	0.0699	16.2405845	1.1350394	2682.41	LONRF2	LON peptidase N-terminal domain and ring finger 2
3716	3.01e-56	8.50e-59	0.0543	16.1678375	0.8780223	15402.02	JAK1	Janus kinase 1
5525	6.05e-56	1.75e-58	0.0772	16.1232109	1.2454323	2272.33	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha
8614	1.82e-55	5.40e-58	0.053	16.0534897	0.8502465	11634.41	STC2	stanniocalcin 2
51474	2.44e-55	7.42e-58	0.0746	-16.0338173	-1.1958009	2125.28	LIMA1	LIM domain and actin binding 1
2317	2.88e-55	8.94e-58	0.0651	16.0222306	1.0429018	7978.53	FLNB	filamin B
202333	2.35e-54	7.46e-57	0.0847	-15.8897324	-1.3458565	1411.22	CMYA5	cardiomyopathy associated 5
18	8.32e-53	2.70e-55	0.0588	15.6631066	0.9211172	5094.6	ABAT	4-aminobutyrate aminotransferase
3717	3.65e-52	1.21e-54	0.1036	15.5675176	1.6124348	854.12	JAK2	Janus kinase 2
6584	3.33e-51	1.13e-53	0.0892	15.4240115	1.3765894	1280.5	SLC22A5	solute carrier family 22 member 5
2288	7.32e-51	2.53e-53	0.0499	15.3717627	0.7669591	15625.94	FKBP4	FKBP prolyl isomerase 4
9424	8.23e-51	2.90e-53	0.0666	15.3628591	1.0225558	2931.61	KCNK6	potassium two pore domain channel subfamily K member 6
51195	1.20e-50	4.34e-53	0.0854	15.33684	1.3092518	1354.86	RAPGEFL1	Rap guanine nucleotide exchange factor like 1
26353	4.76e-49	1.75e-51	0.1144	15.0950287	1.7271922	724.68	HSPB8	heat shock protein family B (small) member 8
9060	5.58e-49	2.09e-51	0.056	15.0832229	0.844866	11484.81	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2
23541	1.94e-48	7.39e-51	0.2091	14.9995831	3.1363536	256.63	SEC14L2	SEC14 like lipid binding 2
90427	6.02e-47	2.34e-49	0.1287	-14.768538	-1.9000154	547.14	BMF	Bcl2 modifying factor
6611	3.04e-46	1.20e-48	0.0569	14.6577823	0.8345761	7257.33	SMS	spermine synthase
84255	4.57e-46	1.84e-48	0.0864	14.6288416	1.2635833	1428.6	SLC37A3	solute carrier family 37 member 3
26960	1.54e-45	6.32e-48	0.0661	-14.5446439	-0.9617209	3242.9	NBEA	neurobeachin
2683	2.11e-45	8.78e-48	0.057	14.5220781	0.8279459	5893.55	B4GALT1	beta-1,4-galactosyltransferase 1
4665	5.23e-45	2.21e-47	0.0837	14.4585269	1.2095825	1639.65	NAB2	NGFI-A binding protein 2
5029	2.37e-44	1.02e-46	0.0653	14.3529484	0.9375303	3197.71	P2RY2	purinergic receptor P2Y2
9755	5.90e-44	2.58e-46	0.154	14.2884327	2.1999201	383.04	TBKBP1	TBK1 binding protein 1
101928589	1.62e-43	7.23e-46	0.0795	14.2166073	1.1302378	1668.39	LOC101928589	replaced by ID 84187
2099	4.85e-43	2.19e-45	0.0528	-14.1388166	-0.7463509	15768.33	ESR1	estrogen receptor 1
7903	1.74e-42	8.00e-45	0.1217	-14.047306	-1.7097806	698.47	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
901	2.09e-42	9.73e-45	0.083	-14.0334812	-1.164346	1507.4	CCNG2	cyclin G2
1591	3.54e-42	1.67e-44	0.2164	13.9949391	3.0289195	229	CYP24A1	cytochrome P450 family 24 subfamily A member 1
55244	1.14e-41	5.47e-44	0.2267	13.9104361	3.1539327	214.22	SLC47A1	solute carrier family 47 member 1
2065	1.66e-41	8.07e-44	0.0539	-13.8826397	-0.7481368	11757.01	ERBB3	erb-b2 receptor tyrosine kinase 3
54549	5.39e-41	2.66e-43	0.1019	13.7968685	1.4057773	885.08	SDK2	sidekick cell adhesion molecule 2
4854	6.03e-41	3.02e-43	0.0841	-13.7876393	-1.1590925	2917.85	NOTCH3	notch receptor 3
6387	6.80e-41	3.46e-43	0.1173	13.7779994	1.6162434	681.3	CXCL12	C-X-C motif chemokine ligand 12
3760	3.79e-40	1.95e-42	0.0683	-13.6524617	-0.9322667	2917.06	KCNJ3	potassium inwardly rectifying channel subfamily J member 3
155185	6.67e-40	3.48e-42	0.0853	13.6101758	1.161409	1440.07	AMZ1	archaelysin family metallopeptidase 1
857	7.91e-40	4.19e-42	0.0737	13.5967048	1.0019524	2126.62	CAV1	caveolin 1
55672	2.15e-39	1.15e-41	0.0623	13.5223987	0.8429121	3844.03	NBPF1	NBPF member 1
94241	2.46e-39	1.34e-41	0.0701	-13.5114411	-0.9466748	2431.63	TP53INP1	tumor protein p53 inducible nuclear protein 1
4084	1.21e-38	6.65e-41	0.0799	13.3929407	1.0704455	1780.33	MXD1	MAX dimerization protein 1
202	1.28e-38	7.14e-41	0.0618	-13.3877035	-0.8271404	5000.41	CRYBG1	crystallin beta-gamma domain containing 1
799	1.80e-38	1.01e-40	0.1071	13.3615165	1.4314826	804.14	CALCR	calcitonin receptor
28996	2.09e-38	1.20e-40	0.0611	13.3493154	0.8155502	4478.24	HIPK2	homeodomain interacting protein kinase 2
55605	2.21e-38	1.28e-40	0.0638	13.3441146	0.8518995	3478.51	KIF21A	kinesin family member 21A
9846	2.29e-38	1.34e-40	0.0751	13.3407839	1.0021852	1956.22	GAB2	GRB2 associated binding protein 2
54981	4.24e-38	2.52e-40	0.1178	13.2937675	1.5662371	651.31	NMRK1	nicotinamide riboside kinase 1
23286	8.52e-38	5.11e-40	0.0696	13.2406069	0.9213528	2857.13	WWC1	WW and C2 domain containing 1
2296	1.21e-37	7.32e-40	0.1133	13.213641	1.4965008	677.11	FOXC1	forkhead box C1
7035	1.29e-37	7.90e-40	0.0668	-13.2079345	-0.8824873	3297.13	TFPI	tissue factor pathway inhibitor
84059	2.88e-37	1.79e-39	0.0803	-13.146253	-1.055473	1623.26	ADGRV1	adhesion G protein-coupled receptor V1
7168	3.07e-37	1.93e-39	0.0552	13.1405146	0.7254413	8776.74	TPM1	tropomyosin 1
4982	7.98e-37	5.07e-39	0.1553	-13.0672235	-2.0289691	355.84	TNFRSF11B	TNF receptor superfamily member 11b
347902	8.11e-37	5.21e-39	0.0527	-13.0651022	-0.6887794	18211.18	AMIGO2	adhesion molecule with Ig like domain 2
6446	1.01e-36	6.54e-39	0.146	13.047835	1.9049224	494.21	SGK1	serum/glucocorticoid regulated kinase 1
6301	1.43e-36	9.37e-39	0.057	13.0203739	0.7423221	16705.26	SARS1	seryl-tRNA synthetase 1
83872	2.00e-36	1.34e-38	0.0627	-12.9928374	-0.8145242	5526.42	HMCN1	hemicentin 1
102724250	2.00e-36	1.34e-38	0.0651	12.9929305	0.8457639	3248.19	LOC102724250	neuroblastoma breakpoint family member 1-like
118980	2.80e-36	1.90e-38	0.0726	12.9664116	0.941755	2819.33	SFXN2	sideroflexin 2
100750247	3.26e-36	2.23e-38	0.0834	12.9539848	1.0800268	2276.42	HIF1A-AS2	HIF1A antisense RNA 2
7869	5.45e-36	3.77e-38	0.1294	12.9136205	1.6708567	599.63	SEMA3B	semaphorin 3B
25976	1.10e-35	7.70e-38	0.0889	12.8585918	1.1435946	1361.34	TIPARP	TCDD inducible poly(ADP-ribose) polymerase
10451	1.26e-35	8.92e-38	0.0618	-12.8472125	-0.7940543	7292.6	VAV3	vav guanine nucleotide exchange factor 3
112399	1.59e-35	1.13e-37	0.1081	-12.8288204	-1.3867985	751.24	EGLN3	egl-9 family hypoxia inducible factor 3
57674	1.78e-35	1.28e-37	0.064	-12.8191057	-0.8199608	6951.45	RNF213	ring finger protein 213
11057	2.22e-35	1.62e-37	0.0558	12.8011428	0.714014	9503.66	ABHD2	abhydrolase domain containing 2, acylglycerol lipase
1408	3.32e-35	2.43e-37	0.0682	-12.769276	-0.8703975	3046.26	CRY2	cryptochrome circadian regulator 2
28966	1.18e-34	8.73e-37	0.0755	12.6694613	0.9559694	2001.36	SNX24	sorting nexin 24
9314	1.26e-34	9.46e-37	0.0846	12.6631979	1.0711273	1395.27	KLF4	KLF transcription factor 4
2013	2.02e-34	1.53e-36	0.0493	12.6256089	0.622453	28300.43	EMP2	epithelial membrane protein 2
4886	2.17e-34	1.66e-36	0.0767	12.6190972	0.96739	2280.02	NPY1R	neuropeptide Y receptor Y1
8693	4.70e-34	3.61e-36	0.0788	12.5575506	0.9901488	2213.95	GALNT4	polypeptide N-acetylgalactosaminyltransferase 4
5167	5.04e-34	3.91e-36	0.0658	-12.5512486	-0.8259551	3654.05	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1
399665	1.21e-33	9.50e-36	0.0623	12.4807927	0.7779826	11681.48	EEIG1	estrogen-induced osteoclastogenesis regulator 1
100528030	1.71e-33	1.35e-35	0.0786	12.4529187	0.9789266	2255.47	POC1B-GALNT4	POC1B-GALNT4 readthrough
29957	3.02e-33	2.41e-35	0.0586	12.4065396	0.7270073	13314.83	SLC25A24	solute carrier family 25 member 24
960	3.17e-33	2.55e-35	0.0596	12.4018858	0.7386548	7967.12	CD44	CD44 molecule (Indian blood group)
4254	1.79e-32	1.45e-34	0.0604	-12.2617055	-0.7400762	4804.76	KITLG	KIT ligand
55809	1.91e-32	1.57e-34	0.1332	-12.2557011	-1.6325692	504.86	TRERF1	transcriptional regulating factor 1
2717	3.43e-32	2.83e-34	0.0789	12.2076087	0.9635027	1991.72	GLA	galactosidase alpha
6520	8.85e-32	7.37e-34	0.0531	12.1294616	0.6435101	11244.4	SLC3A2	solute carrier family 3 member 2
330	2.14e-31	1.80e-33	0.2304	12.056212	2.7776092	196.21	BIRC3	baculoviral IAP repeat containing 3
104472848	2.46e-31	2.08e-33	0.1169	-12.0441966	-1.4082931	706.15	IRAIN	IGF1R antisense imprinted non-protein coding RNA
10801	7.57e-31	6.46e-33	0.0631	11.9503772	0.7542216	10408.5	SEPTIN9	septin 9
23213	8.22e-31	7.08e-33	0.0632	-11.9427621	-0.7548994	3619.96	SULF1	sulfatase 1
26010	1.57e-30	1.36e-32	0.069	11.8882141	0.8206532	2816.23	SPATS2L	spermatogenesis associated serine rich 2 like
619279	2.18e-30	1.91e-32	0.0777	-11.8601301	-0.9220662	2173.49	ZNF704	zinc finger protein 704
23466	2.37e-30	2.09e-32	0.086	-11.8523459	-1.0187795	2250.04	CBX6	chromobox 6
10769	3.76e-30	3.35e-32	0.0536	-11.8128777	-0.6334726	11052.37	PLK2	polo like kinase 2
100133941	5.94e-30	5.33e-32	0.0474	-11.7737762	-0.5580483	43339.97	CD24	CD24 molecule
162	1.13e-29	1.02e-31	0.0696	11.7191437	0.8156142	4122.38	AP1B1	adaptor related protein complex 1 subunit beta 1
2674	1.99e-29	1.81e-31	0.0546	-11.6699677	-0.6371737	26492.25	GFRA1	GDNF family receptor alpha 1
6840	2.05e-29	1.88e-31	0.0651	11.666747	0.7596875	3115.74	SVIL	supervillin
1287	2.79e-29	2.58e-31	0.0704	-11.6400493	-0.8196687	2497.13	COL4A5	collagen type IV alpha 5 chain
112268155	3.04e-29	2.83e-31	0.0629	11.6321374	0.7318275	5284.74	LOC112268155	
3764	6.78e-29	6.36e-31	0.2681	-11.5627335	-3.09979	146.55	KCNJ8	potassium inwardly rectifying channel subfamily J member 8
55793	8.58e-29	8.11e-31	0.0846	11.541884	0.9763298	1410.2	MINDY1	MINDY lysine 48 deubiquitinase 1
9413	8.74e-29	8.33e-31	0.0947	11.5396223	1.0926746	1002.29	ENTREP1	endosomal transmembrane epsin interactor 1
107984897	1.33e-28	1.27e-30	0.089	-11.5029809	-1.0243254	1968.68	LOC107984897	uncharacterized LOC107984897
123036	1.39e-28	1.35e-30	0.0647	-11.4981759	-0.7441957	4465.27	TC2N	tandem C2 domains, nuclear
8165	1.73e-28	1.68e-30	0.0552	11.4789842	0.6332116	6844.62	AKAP1	A-kinase anchoring protein 1
254778	1.76e-28	1.73e-30	0.2295	11.4766252	2.6343214	179.95	VXN	vexin
8821	2.23e-28	2.20e-30	0.0614	-11.4557836	-0.7031721	6457.3	INPP4B	inositol polyphosphate-4-phosphatase type II B
26509	4.43e-28	4.41e-30	0.0506	11.3953978	0.5764989	17331.86	MYOF	myoferlin
7832	5.72e-28	5.74e-30	0.0885	-11.3724537	-1.0061319	1801.12	BTG2	BTG anti-proliferation factor 2
2274	1.56e-27	1.58e-29	0.1425	11.2836974	1.6081631	417.22	FHL2	four and a half LIM domains 2
286144	2.03e-27	2.06e-29	0.0653	-11.2601939	-0.7348126	3862.22	TRIQK	triple QxxK/R motif containing
1303	2.12e-27	2.17e-29	0.0905	11.2558908	1.018878	1132.32	COL12A1	collagen type XII alpha 1 chain
3572	2.36e-27	2.43e-29	0.0746	11.2455934	0.8392067	2727.76	IL6ST	interleukin 6 cytokine family signal transducer
100132406	3.00e-27	3.12e-29	0.0586	11.2237764	0.6581703	5568.74	NBPF10	NBPF member 10
51523	4.39e-27	4.59e-29	0.0634	11.189516	0.70913	3880.63	CXXC5	CXXC finger protein 5
283131	8.22e-27	8.65e-29	0.0607	11.133159	0.675284	7055.25	NEAT1	nuclear paraspeckle assembly transcript 1
595	1.02e-26	1.08e-28	0.0473	11.1129803	0.5252727	36630.73	CCND1	cyclin D1
860	1.08e-26	1.15e-28	0.082	11.1078668	0.9108793	1463.32	RUNX2	RUNX family transcription factor 2
3860	1.16e-26	1.25e-28	0.2672	11.1004529	2.9659909	145.57	KRT13	keratin 13
55540	1.73e-26	1.87e-28	0.1122	11.0641701	1.2408894	668.76	IL17RB	interleukin 17 receptor B
169200	1.98e-26	2.15e-28	0.0572	11.0517145	0.6324866	36554.18	TMEM64	transmembrane protein 64
7494	2.79e-26	3.05e-28	0.0584	11.0203222	0.6432226	71051.87	XBP1	X-box binding protein 1
9209	2.81e-26	3.10e-28	0.0811	11.0188482	0.893484	1808.22	LRRFIP2	LRR binding FLII interacting protein 2
101060226	3.16e-26	3.50e-28	0.0534	11.0079589	0.5881804	10587.24	NBPF19	NBPF member 19
57484	3.17e-26	3.54e-28	0.0894	11.0069185	0.9845046	1274.82	RNF150	ring finger protein 150
2444	3.64e-26	4.09e-28	0.1131	10.9938467	1.2434034	747.32	FRK	fyn related Src family tyrosine kinase
6432	4.61e-26	5.21e-28	0.0585	10.972053	0.6423098	6529.74	SRSF7	serine and arginine rich splicing factor 7
9830	4.74e-26	5.39e-28	0.0676	10.9690092	0.7410922	2913.4	TRIM14	tripartite motif containing 14
64084	7.35e-26	8.40e-28	0.0758	-10.9287319	-0.8288965	2424.06	CLSTN2	calsyntenin 2
26578	8.29e-26	9.54e-28	0.0812	10.9171673	0.8864968	1531.46	OSTF1	osteoclast stimulating factor 1
382	1.81e-25	2.09e-27	0.0586	10.845705	0.6355482	6260.49	ARF6	ADP ribosylation factor 6
25832	5.70e-25	6.64e-27	0.0604	10.7394417	0.6486528	5326.62	NBPF14	NBPF member 14
92610	1.11e-24	1.30e-26	0.0903	10.6770735	0.9638727	1181.69	TIFA	TRAF interacting protein with forkhead associated domain
861	1.63e-24	1.92e-26	0.0641	10.6409159	0.682194	4159.75	RUNX1	RUNX family transcription factor 1
7739	1.81e-24	2.15e-26	0.0715	10.6304402	0.7600617	3410.7	ZNF185	zinc finger protein 185 with LIM domain
64798	2.13e-24	2.54e-26	0.0966	10.6150182	1.0249966	1043.18	DEPTOR	DEP domain containing MTOR interacting protein
107986528	2.59e-24	3.11e-26	0.0633	-10.5959631	-0.6711068	3795.67	LOC107986528	uncharacterized LOC107986528
7074	6.11e-24	7.37e-26	0.0817	10.5149595	0.8590516	1498.13	TIAM1	TIAM Rac1 associated GEF 1
23678	7.01e-24	8.51e-26	0.1433	10.5013919	1.5050026	428.98	SGK3	serum/glucocorticoid regulated kinase family member 3
100532724	8.31e-24	1.01e-25	0.1158	-10.4848194	-1.2142705	621.71	NPHP3-ACAD11	NPHP3-ACAD11 readthrough (NMD candidate)
65083	8.94e-24	1.10e-25	0.0778	10.4773481	0.8153306	1720.85	NOL6	nucleolar protein 6
1942	1.86e-23	2.29e-25	0.1017	-10.4073867	-1.0585784	935	EFNA1	ephrin A1
57182	3.21e-23	3.98e-25	0.0558	-10.3546891	-0.5781606	11712.44	ANKRD50	ankyrin repeat domain containing 50
26207	3.21e-23	4.01e-25	0.0755	10.3540652	0.7818069	1911.34	PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1
100533105	5.04e-23	6.34e-25	0.1408	10.3102024	1.4519461	445.5	C8orf44-SGK3	C8orf44-SGK3 readthrough
9188	5.23e-23	6.61e-25	0.0616	10.3061414	0.6350466	7975.4	DDX21	DExD-box helicase 21
154796	6.67e-23	8.48e-25	0.118	-10.2822132	-1.2130777	657.71	AMOT	angiomotin
79962	6.75e-23	8.62e-25	0.0931	-10.2805655	-0.9573671	1126.34	DNAJC22	DnaJ heat shock protein family (Hsp40) member C22
2081	9.53e-23	1.22e-24	0.0855	10.2466706	0.8760802	1424.59	ERN1	endoplasmic reticulum to nucleus signaling 1
57826	1.75e-22	2.26e-24	0.0611	10.1871565	0.6222858	7246.52	RAP2C	RAP2C, member of RAS oncogene family
10202	1.92e-22	2.49e-24	0.0879	10.1779195	0.8949527	1364.89	DHRS2	dehydrogenase/reductase 2
6492	2.97e-22	3.88e-24	0.2769	-10.1345763	-2.8059075	126.24	SIM1	SIM bHLH transcription factor 1
5794	3.10e-22	4.07e-24	0.3666	10.129976	3.7131443	97.94	PTPRH	protein tyrosine phosphatase receptor type H
55619	4.12e-22	5.45e-24	0.0943	-10.1014096	-0.9528625	1018.43	DOCK10	dedicator of cytokinesis 10
1646	4.13e-22	5.48e-24	0.0805	10.10071	0.812981	3052.68	AKR1C2	aldo-keto reductase family 1 member C2
2036	4.15e-22	5.54e-24	0.071	10.0996838	0.7170314	2468.48	EPB41L1	erythrocyte membrane protein band 4.1 like 1
84181	4.17e-22	5.59e-24	0.0556	-10.098765	-0.5616938	7011.22	CHD6	chromodomain helicase DNA binding protein 6
288	1.08e-21	1.45e-23	0.0711	-10.0048906	-0.7116739	2944.62	ANK3	ankyrin 3
5099	1.09e-21	1.48e-23	0.1087	-10.0029208	-1.0870984	787.73	PCDH7	protocadherin 7
160335	1.91e-21	2.61e-23	0.0933	-9.9467094	-0.9276143	1142.78	TMTC2	transmembrane O-mannosyltransferase targeting cadherins 2
144501	2.00e-21	2.74e-23	0.0679	9.9416234	0.6750476	14570.56	KRT80	keratin 80
101928841	2.54e-21	3.50e-23	0.2735	9.9174232	2.7122613	132.18	LOC101928841	replaced by ID 113622
91523	2.67e-21	3.69e-23	0.1382	-9.9120359	-1.3694346	428.57	PCED1B	PC-esterase domain containing 1B
221662	2.80e-21	3.90e-23	0.255	9.9066466	2.5262744	144.23	RBM24	RNA binding motif protein 24
135398	2.90e-21	4.05e-23	0.0627	9.9027469	0.6206557	4045.46	C6orf141	chromosome 6 open reading frame 141
55512	3.17e-21	4.46e-23	0.265	9.8931413	2.6220164	134.85	SMPD3	sphingomyelin phosphodiesterase 3
51559	3.52e-21	4.98e-23	0.1039	9.8821556	1.0265301	795.31	NT5DC3	5'-nucleotidase domain containing 3
1952	5.15e-21	7.31e-23	0.1181	9.8435217	1.1627116	22348.86	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2
100996763	5.42e-21	7.73e-23	0.0785	9.8379145	0.7718567	1655.59	NOTCH2NLB	notch 2 N-terminal like B
85477	5.82e-21	8.34e-23	0.1532	-9.8302973	-1.50598	342.93	SCIN	scinderin
84144	6.62e-21	9.54e-23	0.0795	-9.8167543	-0.7806763	1844.85	SYDE2	synapse defective Rho GTPase homolog 2
157680	1.11e-20	1.61e-22	0.0622	-9.763992	-0.6072773	4067.54	VPS13B	vacuolar protein sorting 13 homolog B
153769	1.19e-20	1.74e-22	0.2352	9.75614	2.2949877	158.41	SH3RF2	SH3 domain containing ring finger 2
3099	1.69e-20	2.48e-22	0.0607	9.7199783	0.5903167	4235.99	HK2	hexokinase 2
11098	1.69e-20	2.47e-22	0.067	9.7203343	0.6517477	2856.14	PRSS23	serine protease 23
6426	2.72e-20	4.02e-22	0.0566	9.6707289	0.5471412	20135.56	SRSF1	serine and arginine rich splicing factor 1
1958	3.07e-20	4.54e-22	0.1036	9.6580399	1.0007956	901.01	EGR1	early growth response 1
101927861	3.13e-20	4.66e-22	0.0821	9.6555323	0.7927356	1469.55	LINC01293	long intergenic non-protein coding RNA 1293
91683	3.40e-20	5.09e-22	0.1095	9.6465085	1.0566496	927.54	SYT12	synaptotagmin 12
23138	4.02e-20	6.07e-22	0.0947	-9.6283693	-0.9116694	1272.39	N4BP3	NEDD4 binding protein 3
8839	4.02e-20	6.05e-22	0.1033	9.6287012	0.9948299	827.31	CCN5	cellular communication network factor 5
3312	4.55e-20	6.90e-22	0.0516	9.6150984	0.4964502	77636.24	HSPA8	heat shock protein family A (Hsp70) member 8
4915	8.12e-20	1.24e-21	0.2582	9.5547442	2.467265	144.29	NTRK2	neurotrophic receptor tyrosine kinase 2
154141	1.13e-19	1.73e-21	0.0743	9.5201815	0.7074372	4585.44	MBOAT1	membrane bound O-acyltransferase domain containing 1
10079	1.13e-19	1.74e-21	0.0565	-9.5196858	-0.5376912	10850.45	ATP9A	ATPase phospholipid transporting 9A (putative)
1662	1.24e-19	1.92e-21	0.093	9.5090876	0.8846591	1130.85	DDX10	DEAD-box helicase 10
56521	1.29e-19	2.00e-21	0.1248	9.5048432	1.18643	586.68	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
3918	1.33e-19	2.08e-21	0.1308	9.501051	1.2424522	482.82	LAMC2	laminin subunit gamma 2
100996717	1.73e-19	2.71e-21	0.0929	9.4733427	0.8805464	1101.58	NOTCH2NLC	notch 2 N-terminal like C
10626	1.90e-19	2.99e-21	0.0695	9.4631406	0.6577705	2977.06	TRIM16	tripartite motif containing 16
9645	2.33e-19	3.68e-21	0.0696	9.4413823	0.6574835	3614.96	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
4783	2.41e-19	3.82e-21	0.0775	9.4374001	0.7312961	2653.59	NFIL3	nuclear factor, interleukin 3 regulated
107	2.72e-19	4.34e-21	0.0569	-9.4240541	-0.5361742	14503.99	ADCY1	adenylate cyclase 1
3909	3.75e-19	6.01e-21	0.1131	9.3897778	1.0615189	690.34	LAMA3	laminin subunit alpha 3
51313	3.96e-19	6.38e-21	0.1551	9.3835074	1.4551221	336.59	GASK1B	golgi associated kinase 1B
7422	4.45e-19	7.19e-21	0.0705	9.3709618	0.6604477	2430	VEGFA	vascular endothelial growth factor A
124359	4.52e-19	7.34e-21	0.0705	-9.3686971	-0.6603737	2355.63	CDYL2	chromodomain Y like 2
54800	6.07e-19	9.90e-21	0.0945	-9.337097	-0.8820496	1071.5	KLHL24	kelch like family member 24
23224	8.19e-19	1.34e-20	0.0609	-9.304861	-0.5664531	7899.81	SYNE2	spectrin repeat containing nuclear envelope protein 2
57153	9.60e-19	1.58e-20	0.0626	-9.2874864	-0.5811408	6285.96	SLC44A2	solute carrier family 44 member 2
222584	1.64e-18	2.71e-20	0.0587	-9.230032	-0.5417704	4976.18	FAM83B	family with sequence similarity 83 member B
107986924	1.70e-18	2.82e-20	0.2091	9.2254423	1.9286403	186.71	LOC107986924	uncharacterized LOC107986924
9231	1.71e-18	2.85e-20	0.0715	9.2244439	0.6598477	5184.49	DLG5	discs large MAGUK scaffold protein 5
